year,month,date,author,subject,repo,insertions,deletions
2021,1,24,Mike Bostock,2.11.0,d3-array,1,1
2021,1,24,Philippe Rivière,document multiple accessors for d3.sort,d3-array,14,2
2021,1,23,Mike Bostock,optimize for single accessor,d3-array,17,10
2021,1,23,Mike Bostock,multi-sort,d3-array,15,4
2021,1,24,Mike Bostock,Update README,d3-array,17,0
2021,1,23,Mike Bostock,groupSort,d3-array,61,0
2021,1,22,Mike Bostock,2.10.0,d3-array,1,1
2021,1,22,Mike Bostock,Update README,d3-array,2,3
2021,1,22,Mike Bostock,Update README,d3-array,8,20
2021,1,22,Philippe Rivière,link to (forthcoming) d3.index examples,d3-array,2,2
2021,1,22,Philippe Rivière,selection(iterable) works (the future is now),d3-array,1,1
2021,1,22,Philippe Rivière,document InternMap,d3-array,24,3
2021,1,22,Philippe Rivière,fix extent url,d3-array,5,5
2021,1,21,Mike Bostock,adopt InternMap,d3-array,104,2
2020,12,8,Mike Bostock,2.9.1,d3-array,1,1
2020,12,8,Mike Bostock,Fix last bin.,d3-array,21,4
2020,12,3,Mike Bostock,2.9.0,d3-array,1,1
2020,12,1,Mike Bostock,sort accessor,d3-array,29,3
2020,9,26,Mike Bostock,Fix zero-width last bin.,d3-array,41,17
2020,9,23,Mike Bostock,Update README.,d3-array,1,1
2020,9,23,Mike Bostock,2.8.0,d3-array,1,1
2020,9,23,Mike Bostock,Allow unbounded sets.,d3-array,56,12
2020,9,22,Mike Bostock,Add basic set methods.,d3-array,280,61
2020,9,12,Mike Bostock,Add basic array methods for iterables.,d3-array,441,0
2020,9,22,Mike Bostock,A nice default bin domain.,d3-array,141,4
2020,9,1,Philippe Rivière,link,d3-array,1,1
2020,8,31,Mike Bostock,2.7.1,d3-array,1,1
2020,8,30,Mike Bostock,Nice fractional bins.,d3-array,14,4
2020,8,29,Mike Bostock,2.7.0,d3-array,1,1
2020,8,27,Mike Bostock,Add d3.shuffler.,d3-array,42,34
2020,8,29,Mike Bostock,Update dependencies.,d3-array,19,19
2020,8,26,Mike Bostock,Add bisectCenter.,d3-array,15,5
2020,8,24,Philippe Rivière,link to example,d3-array,1,1
2020,8,23,Mike Bostock,2.6.0,d3-array,1,1
2020,6,24,Philippe Rivière,Add bisector.center.,d3-array,99,26
2020,6,25,Philippe Rivière,"d3.index, d3.indexes",d3-array,114,1
2020,8,22,Mike Bostock,Update LICENSE.,d3-array,1,1
2020,8,22,Mike Bostock,Add GitHub workflow.,d3-array,48,0
2020,8,22,Mike Bostock,Update dependencies.,d3-array,2214,2555
2020,8,19,Mike Bostock,Update README.,d3-array,5,5
2020,8,18,Philippe Rivière,v2.5.1,d3-array,1,1
2020,8,18,Philippe Rivière,document a typical threshold generator for date values (#155),d3-array,5,1
2020,8,18,Mike Bostock,Fix ceil & floor. (#164),d3-array,7,2
2020,8,1,Mike Bostock,Remove redundant fill. (#161),d3-array,1,1
2020,7,30,Philippe Rivière,link to fsum notebook,d3-array,1,1
2020,7,30,Philippe Rivière,v2.5.0,d3-array,1,1
2020,7,30,Philippe Rivière,d3.fsum (#154),d3-array,209,0
2020,5,5,Mike Bostock,Update README.md,d3-array,1,1
2020,5,5,pbogden,Update README.md,d3-array,1,1
2020,4,2,Mike Bostock,Don’t include negative zero in ticks.,d3-array,8,2
2019,11,9,Mike Bostock,2.4.0,d3-array,1,1
2019,10,19,Philippe Rivière,link to examples (preview: https://observablehq.com/d/918b60f6963a81e1),d3-array,1,1
2019,10,18,Philippe Rivière,cumsum (https://github.com/d3/d3-array/issues/102),d3-array,115,0
2019,10,16,Mike Bostock,2.3.3,d3-array,1,1
2019,10,16,Mike Bostock,Inline quickselect.,d3-array,3,3
2019,10,16,Mike Bostock,Remove redundant default argument.,d3-array,1,1
2019,10,16,Philippe Rivière,use quantile(.5) for median alternative to #125,d3-array,1,9
2019,10,3,Mike Bostock,2.3.2,d3-array,1,1
2019,10,3,Mike Bostock,Use count for consistency.,d3-array,28,7
2019,10,3,Mike Bostock,Fix #123.,d3-array,3,1
2019,8,23,Philippe Rivière,use min/max(subarray),d3-array,1,5
2019,8,23,Philippe Rivière,use quicksort rather than sort in quantile follows the discussion at https://github.com/d3/d3-array/pull/104#issuecomment-523732923,d3-array,32,3
2019,8,20,Mike Bostock,2.3.1,d3-array,1,1
2019,8,20,Mike Bostock,Fix count for non-number values.,d3-array,9,4
2019,8,20,Mike Bostock,2.3.0,d3-array,1,1
2019,8,20,Mike Bostock,Update README.,d3-array,0,4
2019,8,20,Mike Bostock,Update README.,d3-array,29,1
2019,8,20,Mike Bostock,Update README.,d3-array,1,1
2019,8,20,Mike Bostock,Update README.,d3-array,1,1
2019,8,20,Mike Bostock,Remove blank line.,d3-array,0,1
2019,8,20,Mike Bostock,Update README. Fixes #119.,d3-array,1,1
2019,8,20,Mike Bostock,Add sideEffects: false. Related d3/d3#3131.,d3-array,1,0
2019,8,20,Mike Bostock,Add tests (and fix a bug!).,d3-array,119,1
2019,6,10,Mike Bostock,Export greatest.,d3-array,2,0
2019,6,10,Mike Bostock,Add greatestIndex.,d3-array,19,0
2019,6,10,Mike Bostock,Add greatest.,d3-array,29,0
2019,8,20,Mike Bostock,Simplify.,d3-array,4,6
2019,5,20,Philippe Rivière,use numbers* and remove cruft,d3-array,3,9
2019,5,20,Philippe Rivière,move numbers* to number.js,d3-array,19,17
2019,4,30,Philippe Rivière,quantile accepts unsorted iterables; quantileSorted expects a sorted array - closes https://github.com/d3/d3-array/issues/97,d3-array,32,6
2019,8,9,Mike Bostock,Standardize dependencies. d3/d3#3337,d3-array,969,289
2019,8,9,Mike Bostock,Use explicit files when publishing. d3/d3#3335,d3-array,4,4
2019,6,12,Philippe Rivière,links to d3.bin examples,d3-array,8,8
2019,6,12,Philippe Rivière,links to examples,d3-array,8,8
2019,6,11,Philippe Rivière,links to examples,d3-array,5,5
